;HTML color names/code
;Author: Stefan109
;Convert HTML Color name to HTML color code and vice versa
;Save as "HTML Colors.txt" in folder "SynWrite\Data\conv"
;For furter info see e.g.
;http://meta.wikimedia.org/wiki/Wiki_color_formatting_help
;http://en.wikipedia.org/wiki/Web_colors#HTML_color_names
;
aliceblue #F0F8FF
aliceblue #f0f8ff
antiquewhite #FAEBD7
antiquewhite #faebd7
aqua #00FFFF
aqua #0FF
aqua #00ffff
aqua #0ff
aquamarine #7FFFD4
aquamarine #7fffd4
azure #F0FFFF
azure #f0ffff
beige #F5F5DC
beige #f5f5dc
bisque #FFE4C4
bisque #ffe4c4
black #000000
black #000
blanchedalmond #FFEBCD
blanchedalmond #ffebcd
blue #0000FF
blue #00F
blue #0000ff
blue #00f
blueviolet #8A2BE2
blueviolet #8a2be2
brown #A52A2A
brown #a52a2a
burlywood #DEB887
burlywood #deb887
cadetblue #5F9EA0
cadetblue #5f9ea0
chartreuse #7FFF00
chartreuse #7fff00
chocolate #D2691E
chocolate #d2691e
coral #FF7F50
coral #ff7f50
cornflowerblue #6495ED
cornflowerblue #6495ed
cornsilk #FFF8DC
cornsilk #fff8dc
crimson #DC143C
crimson #dc143c
cyan #00FFFF
cyan #00ffff
darkblue #00008B
darkblue #00008b
darkcyan #008B8B
darkcyan #008b8b
darkgoldenrod #B8860B
darkgoldenrod #b8860b
darkgray #A9A9A9
darkgray #a9a9a9
darkgreen #006400
darkkhaki #BDB76B
darkkhaki #bdb76b
darkmagenta #8B008B
darkmagenta #8b008b
darkolivegreen #556B2F
darkolivegreen #556b2f
darkorange #FF8C00
darkorange #ff8c00
darkorchid #9932CC
darkorchid #9932cc
darkred #8B0000
darkred #8b0000
darksalmon #E9967A
darksalmon #e9967a
darkseagreen #8FBC8F
darkseagreen #8fbc8f
darkslateblue #483D8B
darkslateblue #483d8b
darkslategray #2F4F4F
darkslategray #2f4f4f
darkturquoise #00CED1
darkturquoise #00ced1
darkviolet #9400D3
darkviolet #9400d3
deeppink #FF1493
deeppink #ff1493
deepskyblue #00BFFF
deepskyblue #00bfff
dimgray #696969
dodgerblue #1E90FF
dodgerblue #1e90ff
firebrick #B22222
firebrick #b22222
floralwhite #FFFAF0
floralwhite #fffaf0
forestgreen #228B22
forestgreen #228b22
fuchsia #FF00FF
fuchsia #F0F
fuchsia #ff00ff
fuchsia #f0f
gainsboro #DCDCDC
gainsboro #dcdcdc
ghostwhite #F8F8FF
ghostwhite #f8f8ff
gold #FFD700
gold #ffd700
goldenrod #DAA520
goldenrod #daa520
gray #808080
green #008000
greenyellow #ADFF2F
greenyellow #adff2f
honeydew #F0FFF0
honeydew #f0fff0
hotpink #FF69B4
hotpink #ff69b4
indianred #CD5C5C
indianred #cd5c5c
indigo #4B0082
indigo #4b0082
ivory #FFFFF0
ivory #fffff0
khaki #F0E68C
