용어집

Expand,펼치기
Collapse,접기

Lexer,분석기
Editor,편집기

Tab,탭
Tab stops,탭 멈춤
Tab mode,탭 모드

Fonts,글꼴
Colors,색상
Keys,단축키

Auto-Complete,자동완성
Auto-Save,자동저장

Encoding,인코딩

Bookmark,책갈피
Marker,위치표식
Favorites,즐겨찾기
Customize,사용자정의

Window,창

Clipboard,클립보드
Clipboard History,클립보드 기록

Search,검색
Find,검색
Replace,치환,바꾸기
Edit,편집
File,파일
Open,열기
Reopen,다시열기
OK,확인
Cancel,취소
Save,저장

Help,도움말
Run,실행

Comments,주석

Close,닫기
Session,세션

Macro,매크로

Line-Number,줄번호
Go to, 바로 가기

Tools,도구

Configure,환경설정
Numeric converter,수치 변환기

All Files,모든 파일
Unicode,유니코드

Syntax Highlighting,구문 강조
Recent File,최근 파일
Import,가져오기
Export,내보내기
Print,인쇄
Document,문서
Preview,미리보기
Whole Page,전체 페이지

Applications,어플리케이션
Output,출력

Line-Spacing,줄 간격

Minimap,미니맵
micro-map, 마이크로 맵
Project Manager,프로젝트 관리자

word wrap,줄 바꿈
Sort lines,줄 정렬
